Original	Salva	Casimir	Type	Subtype	Characteristic
loop of henle_sod3 high			loop of henle	sod3 high	
loop of henle_spp1 high			loop of henle	spp1 high	
lymphatic endothelial cell_ccl21 high			endothelial	lymphatic	ccl21 high
lymphatic endothelial cell_nts high			endothelial	lymphatic	nts high
m1 macrophage_ccl2_high			macrophage	m1	ccl2_high
m1 macrophage_cxcl8_high			macrophage	m1	cxcl8_high
m2 macrophage_cxcl8 high			macrophage	m2	cxcl8_high
m2 macrophage_malat1 high			macrophage	m2	malat1_high
macrophage_apoc1 high			macrophage	apoc1 high	
macrophage_c1qb high			macrophage	c1qb high	
macrophage_ccl20 high			macrophage	ccl20 high	
macrophage_ccl3l3 high			macrophage	ccl3l3 high	
macrophage_cd52 high			macrophage	cd52 high	
macrophage_ctsb high			macrophage	ctsb high	
macrophage_cxcl2 high			macrophage	cxcl2 high	
macrophage_cxcl8 high			macrophage	cxcl8 high	
macrophage_fabp5 high			macrophage	fabp5 high	
macrophage_fcgr3a high			macrophage	fcgr3a high	
macrophage_gpr183 high			macrophage	gpr183 high	
macrophage_hla-dra high			macrophage	hla-dra high	
macrophage_il1b high			macrophage	il1b high	
macrophage_m2			macrophage	m2	
macrophage_rgs1 high			macrophage	rgs1 high	
macrophage_rnase1 high			macrophage	rnase1 high	
macrophage_sds high			macrophage	sds high	
macrophage_spp1 high			macrophage	spp1 high	
macrophage_tpsb2 high			macrophage	tpsb2 high	
macrophage_vsig4 high			macrophage	vsig4 high	
melanocyte_mlana high			melanocyte	mlana high	
melanocyte_s100b high			melanocyte	s100b high	
mesenchymal  cell			mesenchymal		
mesothelial cell_cpa3 high			mesothelial	cpa3 high	
mesothelial cell_itln high			mesothelial	itln high	
mesothelial cell_mt gene high			mesothelial	mt gene high	
microglia_alox5ap high			microglia	alox5ap high	
microglia_c3 high			microglia	c3 high	
microglia_spp1_high			microglia	high	
monocyte_cxcl8 high			monocyte	cxcl8 high	
monocyte_cxcr2 high			monocyte	cxcr2 high	
monocyte_fcgr3a high			monocyte	fcgr3a high	
monocyte_ftl high			monocyte	ftl high	
monocyte_ighg4 high			monocyte	ighg4 high	
monocyte_isg15 high			monocyte	isg15 high	
monocyte_s100a12 high			monocyte	s100a12 high	
monocyte_s100a9 high			monocyte	s100a9 high	
monocyte_tppp3 high			monocyte	tppp3 high	
mucous epithelial cell_reg1a high			epithelial	mucous	reg1a high
mucous epithelial cell_tff1 high			epithelial	mucous	tff1 high
multipotential  progenitor cell			multipotential	progenitor	
myofibroblast_eln high			myofibroblast	eln high	
myofibroblast_postn high			myofibroblast	postn high	
myofibroblast_tagln high			myofibroblast	tagln high	
nephrogenic mesenchyme cell_dapl1 high			mesenchymal	nephrogenic	dapl1 high
neuroendocrine cell_acpp high			neuroendocrine	acpp high	
neuroendocrine cell_ccl21 high			neuroendocrine	ccl21 high	
neuroendocrine cell_sst high			neuroendocrine	sst high	
neuron_gap43 high			neuron	gap43 high	
neuron_linc00682 high			neuron	linc00682 high	
neuron_neurod6 high			neuron	neurod6 high	
neuron_penk high			neuron	penk high	
neuron_plp1 high			neuron	plp1 high	
neuron_ppp1r17 high			neuron	ppp1r17 high	
neuron_reln high			neuron	reln high	
neuron_s100b high			neuron	s100b high	
neuron_tmem233 high			neuron	tmem233 high	
neuron_xpr1 high			neuron	xpr1 high	
neutriophil 			neutrophil		
neutrophil  			neutrophil		
neutrophil _s100a8 high			neutrophil	s100a8 high	
neutrophil__s100a12 high			neutrophil	s100a12 high	
neutrophil_camp high			neutrophil	camp high	
neutrophil_camp_high			neutrophil	high	
neutrophil_cd177 high			neutrophil	cd177 high	
neutrophil_cxcl3 high			neutrophil	cxcl3 high	
neutrophil_defa3 high			neutrophil	defa3 high	
neutrophil_defa4 high			neutrophil	defa4 high	
neutrophil_defa4_high			neutrophil	high	
neutrophil_elane high			neutrophil	elane high	
neutrophil_fcgr3b high			neutrophil	fcgr3b high	
neutrophil_il1b high			neutrophil	il1b high	
neutrophil_lcn2 high			neutrophil	lcn2 high	
neutrophil_ltf high			neutrophil	ltf high	
neutrophil_lyz high			neutrophil	lyz high	
neutrophil_mmp high			neutrophil	mmp high	
neutrophil_mmp9 high			neutrophil	mmp9 high	
neutrophil_mpo high			neutrophil	mpo high	
neutrophil_mpo_high			neutrophil	high	
neutrophil_olfm4 high			neutrophil	olfm4 high	
neutrophil_olfm42 high			neutrophil	olfm42 high	
neutrophil_prtn3 high			neutrophil	prtn3 high	
neutrophil_rnase2 high			neutrophil	rnase2 high	
neutrophil_s100a12 high			neutrophil	s100a12 high	
neutrophil_s100a8 high			neutrophil	s100a8 high	
neutrophil_s100a9 high			neutrophil	s100a9 high	
neutrophil_s100p high			neutrophil	s100p high	
oligodendrocyte_mt gene high			oligodendrocyte	mt gene high	
oligodendrocyte_tf high			oligodendrocyte	tf high	
osteoblast_ibsp high			osteoblast	ibsp high	
osteoclast_acp5 high			osteoblast	acp5 high	
oviductal epithelial  cell			epithelial	oviductal	
paneth cell_defa5 high			paneth	defa5 high	
paneth cell_reg3a high			paneth	reg3a high	
parietal cell_atp4b high			parietal	atp4b high	
parietal cell_gif high			parietal	gif high	
pigment cell	pigment cell	pigment cell	pigment		
pit cell_foxq1 high			pit	foxq1 high	
pit cell_muc6 high			pit	muc6 high	
pit cell_tff2 high			pit	tff2 high	
pit cell_wfdc21p high			pit	wfdc21p high	
primordial germ cell 			primordial germ		
primordial germ cell_gtsf1 high			primordial germ	gtsf1 high	
primordial germ cell_tcl1a high			primordial germ	tcl1a high	
proliferating  b cell			b	proliferating	
proliferating  cell			proliferating		
proliferating  keratinocyte			keratinocyte	proliferating	
proliferating cell_c7 high			proliferating	c7 high	
proliferating cell_ccnb1 high			proliferating	ccnb1 high	
proliferating cell_fabp5 high			proliferating	fabp5 high	
proliferating cell_hmgb2 high			proliferating	hmgb2 high	
proliferating cell_kiaa0101 high			proliferating	kiaa0101 high	
proliferating cell_kiaa0101_high			proliferating	high	
proliferating cell_pttg1 high			proliferating	pttg1 high	
proliferating cell_top2a high			proliferating	top2a high	
proliferating cell_ube2c  high			proliferating	ube2c  high	
proliferating cell_ube2c high			proliferating	ube2c high	
proliferating cell_ube2c_high			proliferating	ube2c high	
proliferating lung mesenchyme cell_hist1h4c high			mesenchymal	lung	proliferating hist1h4c high
proliferating lung mesenchyme cell_ube2c high			mesenchymal	lung	proliferating ube2c high
proximal progenitor cell_grp high			proximal	progenitor	grp high
proximal progenitor cell_scgb3a2 high			proximal tubule		scgb3a2 high
proximal tubule cell_aldob high			proximal tubule		aldob high
proximal tubule cell_mt1g high			proximal tubule		mt1g high
proximal tubule cell_sox4 high			proximal tubule		sox4 high
radial glia_hes1 high			glia	radial	hes1 high
radial glia_hes1_high			glia	radial	high
retinal pigment epithelal cell_mlana high			epithelial	retinal pigment	mlana high
retinal progenitor cell_atp1a2 high			retinal	progenitor	atp1a2 high
retinal progenitor cell_fabp7 high			retinal	progenitor	fabp7 high
sertoli cell_dlk1 high			sertoli	dlk1 high	
sinusoidal endothelial cell_fcn1 high			endothelial	sinusoidal	fcn1 high
smooth muscel cell			muscle	smooth	
smooth muscle cell_acta2 high			muscle	smooth	acta2 high
smooth muscle cell_actg2 high			muscle	smooth	actg2 high
smooth muscle cell_adirf high			muscle	smooth	adirf high
smooth muscle cell_ccl19 high			muscle	smooth	ccl19 high
smooth muscle cell_ccl4l2 high			muscle	smooth	ccl4l2 high
smooth muscle cell_cycs high			muscle	smooth	cycs high
smooth muscle cell_myl9 high			muscle	smooth	myl9 high
smooth muscle cell_mylk high			muscle	smooth	mylk high
smooth muscle cell_pdk4 high			muscle	smooth	pdk4 high
smooth muscle cell_tagln high			muscle	smooth	tagln high
soomth muscle cell			muscle	smooth	
s-shaped body cell_cfap126 high			s-shaped body	cfap126 high	
s-shaped body cell_linc01158 high			s-shaped body	linc01158 high	
stromal cell_apod high			stromal	apod high	
stromal cell_aspn high			stromal	aspn high	
stromal cell_clec3b high			stromal	clec3b high	
stromal cell_col1a1 high			stromal	col1a1 high	
stromal cell_col3a1 high			stromal	col3a1 high	
stromal cell_cxcl14 high			stromal	cxcl14 high	
stromal cell_dcn high			stromal	dcn high	
stromal cell_errfi1 high			stromal	errfi1 high	
stromal cell_gpx3 high			stromal	gpx3 high	
stromal cell_hes1 high			stromal	hes1 high	
stromal cell_lox high			stromal	lox high	
stromal cell_lum high			stromal	lum high	
stromal cell_mfap4 high			stromal	mfap4 high	
stromal cell_mfap5 high			stromal	mfap5 high	
stromal cell_mgp high			stromal	mgp high	
stromal cell_pcp4 high			stromal	pcp4 high	
stromal cell_pla2g2a high			stromal	pla2g2a high	
stromal cell_prg4 high			stromal	prg4 high	
stromal cell_ptgds high			stromal	ptgds high	
stromal cell_ptgds_high			stromal	high	
stromal cell_sfrp2 high			stromal	sfrp2 high	
stromal cell_sult1e1 high			stromal	sult1e1 high	
stromal cell_tslp high			stromal	tslp high	
t cell_ccl4 high			t	ccl4 high	
t cell_ccl5 high			t	ccl5 high	
t cell_gnly high			t	gnly high	
t cell_gzma high			t	gzma high	
t cell_ifng high			t	ifng high	
t cell_il7r high			t	il7r high	
t cell_leprotl1 high			t	leprotl1 high	
t cell_trac high			t	trac high	
tendon cell_gcg high			tendon	gcg high	
trophoblast cell	trophoblast cell	trophoblast cell	trophoblast		
unknown epithelial cell_efna1 high			epithelial	unknown	efna1 high
unknown epithelial cell_fos high			epithelial	unknown	fos high
unknown1			unknown	unknown1	
unknown2			unknown	unknown2	
urothelial cell 			urothelial	urothelial cell	
vascular endothelial cell_a2m high			endothelial	vascular	a2m high
vascular endothelial cell_aqp1 high			endothelial	vascular	aqp1 high
vascular endothelial cell_cd34 high			endothelial	vascular	cd34 high
vascular endothelial cell_fabp4 high			endothelial	vascular	fabp4 high
vascular endothelial cell_fabp5 high			endothelial	vascular	fabp5 high
vascular endothelial cell_igfbp3 high			endothelial	vascular	igfbp3 high
vascular endothelial cell_sele high			endothelial	vascular	sele high
vascular endothelial cell_vwf high			endothelial	vascular	vwf high
ventricle cardiomyocyte_csrp3 high			cardiomyocyte	ventricle	csrp3 high
ventricle cardiomyocyte_mb high			cardiomyocyte	ventricle	mb high
ventricle cardiomyocyte_mt gene high			cardiomyocyte	ventricle	mt gene high
ventricle cardiomyocyte_myl2 high			cardiomyocyte	ventricle	myl2 high
zona fasciculata cell_cyp11b2 high			zona fasciculata	cyp11b2 high	
zona fasciculata cell_fdx1 high			zona fasciculata	fdx1 high	
zona fasciculata cell_gsta1 high			zona fasciculata	gsta1 high	
zona fasciculata cell_hsd3b2 high			zona fasciculata	hsd3b2 high	
adipocyte_spp1 high			adipocyte	spp1 high	
adipocyte _fgr high			adipocyte	fgr high	
stromal cell_nov high			stromal	nov high	
urothelial cell 			urothelial		
neutrophil  			neutrophil		
neutriophil 			neutrophil		
primordial germ cell 			primordial germ		
